company_id,metric_type,period_years,parsed_value,calculated_value,difference,status
HDFCBANK,Sales CAGR,10,21.0,20.89,0.11,OK
SBILIFE,Sales CAGR,5,24.0,24.23,0.23,OK
SBILIFE,Sales CAGR,3,17.0,17.24,0.24,OK
TCS,Sales CAGR,10,11.0,11.4,0.4,OK
TCS,Sales CAGR,5,10.0,10.46,0.46,OK
TCS,Sales CAGR,3,14.0,13.63,0.37,OK
WIPRO,Sales CAGR,10,8.0,7.53,0.47,OK
WIPRO,Sales CAGR,5,9.0,8.75,0.25,OK
WIPRO,Sales CAGR,3,13.0,13.17,0.17,OK
HDFCBANK,Sales CAGR,5,22.0,21.95,0.05,OK
HDFCBANK,Sales CAGR,3,30.0,30.19,0.19,OK
INFY,Sales CAGR,10,12.0,11.85,0.15,OK
INFY,Sales CAGR,5,13.0,13.2,0.2,OK
INFY,Sales CAGR,3,5.0,15.22,10.22,REVIEW
SBILIFE,Sales CAGR,10,23.0,22.56,0.44,OK
