company_id,cluster_id,cluster_name,distance_from_centroid
ABB,1,Defensive Leaders,0.2322362657649101
ADANIENSOL,1,Defensive Leaders,0.7968130859496518
ADANIENT,1,Defensive Leaders,0.3527876372998582
ADANIGREEN,4,Turnaround Stories,0.6700581251803094
ADANIPORTS,1,Defensive Leaders,0.0947538677866198
ADANIPOWER,1,Defensive Leaders,0.06636954606433448
AMBUJACEM,1,Defensive Leaders,0.23393060828667828
APOLLOHOSP,1,Defensive Leaders,0.042616279790563004
ASIANPAINT,1,Defensive Leaders,0.19359564187175626
AXISBANK,4,Turnaround Stories,1.9598036451529346
BAJAJ-AUTO,1,Defensive Leaders,0.21644707590224366
BAJAJFINSV,4,Turnaround Stories,1.1732886859158556
BAJAJHLDNG,1,Defensive Leaders,0.23854569527368585
BAJFINANCE,2,High-Quality Compounders,1.2038744490058644
BANKBARODA,4,Turnaround Stories,1.8449015196148373
BEL,0,Emerging Growth,0.7359937002368483
BHARTIARTL,1,Defensive Leaders,0.6828340646920227
BHEL,1,Defensive Leaders,0.11745234599493758
BOSCHLTD,1,Defensive Leaders,0.23835667133383853
BPCL,1,Defensive Leaders,0.03799345723207535
BRITANNIA,1,Defensive Leaders,0.07900533912421519
CANBK,4,Turnaround Stories,2.538491636959711
CHOLAFIN,4,Turnaround Stories,1.1103786781892784
CIPLA,1,Defensive Leaders,0.765191006396345
COALINDIA,2,High-Quality Compounders,2.8352042069387564
DABUR,1,Defensive Leaders,0.1909182649437663
DIVISLAB,1,Defensive Leaders,0.23964360577649227
DLF,1,Defensive Leaders,0.19742417567433715
DMART,1,Defensive Leaders,0.2286965357101559
DRREDDY,1,Defensive Leaders,0.2144219394038356
EICHERMOT,1,Defensive Leaders,0.23119423339857395
GAIL,1,Defensive Leaders,0.14111318437392786
GODREJCP,1,Defensive Leaders,0.15502899759884906
GRASIM,1,Defensive Leaders,0.30881544114813986
HAL,0,Emerging Growth,0.7359937002368434
HAVELLS,1,Defensive Leaders,0.22531056571481842
HCLTECH,3,Value Cyclicals,0.00724993924727479
HDFCBANK,4,Turnaround Stories,4.863107117567985
HDFCLIFE,1,Defensive Leaders,0.21927452776893722
HEROMOTOCO,1,Defensive Leaders,0.6437506166900195
HINDALCO,2,High-Quality Compounders,0.33494972329008005
HINDUNILVR,2,High-Quality Compounders,1.259663696839851
ICICIBANK,4,Turnaround Stories,1.2703957922207727
ICICIGI,1,Defensive Leaders,0.3698163953843653
ICICIPRULI,1,Defensive Leaders,0.3170901012627293
INDIGO,2,High-Quality Compounders,1.513247022841361
INDUSINDBK,4,Turnaround Stories,0.9287824653147915
INFY,3,Value Cyclicals,0.10760486761445294
IOC,1,Defensive Leaders,0.03034315383850821
IRCTC,1,Defensive Leaders,0.23372949634412968
IRFC,4,Turnaround Stories,0.5719110821647861
ITC,1,Defensive Leaders,0.238041540173177
JINDALSTEL,1,Defensive Leaders,0.11026612329517829
JIOFIN,1,Defensive Leaders,0.24075752734851752
JSWENERGY,1,Defensive Leaders,0.2977907465979278
JSWSTEEL,1,Defensive Leaders,0.16382079561373786
KOTAKBANK,4,Turnaround Stories,1.7174334846222803
LICI,1,Defensive Leaders,0.24391914196795753
LODHA,1,Defensive Leaders,0.08785656556206427
LT,1,Defensive Leaders,0.22242854199259807
LTIM,3,Value Cyclicals,0.007613258427772843
M&M,1,Defensive Leaders,0.3416743852258721
MARUTI,1,Defensive Leaders,0.23911311670272564
MOTHERSON,1,Defensive Leaders,0.0419174391363173
NAUKRI,1,Defensive Leaders,0.2383034699994889
NESTLEIND,1,Defensive Leaders,0.25495547453447015
NHPC,1,Defensive Leaders,0.0639843735955922
NTPC,1,Defensive Leaders,0.2834370622070651
ONGC,1,Defensive Leaders,0.08173567618687397
PFC,4,Turnaround Stories,0.586231667013565
PIDILITIND,1,Defensive Leaders,0.22343861468775458
PNB,1,Defensive Leaders,1.0636048404189762
POWERGRID,1,Defensive Leaders,0.26227237275674187
RECLTD,4,Turnaround Stories,0.7106851616620073
RELIANCE,1,Defensive Leaders,0.04494932788097721
SBILIFE,1,Defensive Leaders,0.32007439677844746
SHREECEM,1,Defensive Leaders,0.21219474994538698
SHRIRAMFIN,1,Defensive Leaders,1.171027278079478
SIEMENS,1,Defensive Leaders,0.23312700879127077
SUNPHARMA,1,Defensive Leaders,0.22143310368088162
TATACONSUM,1,Defensive Leaders,0.16495587733032244
TATAMOTORS,1,Defensive Leaders,0.2104925978785156
TATAPOWER,1,Defensive Leaders,0.34816369401543634
TATASTEEL,1,Defensive Leaders,0.10697564691477005
TCS,3,Value Cyclicals,0.11397982222857592
TECHM,3,Value Cyclicals,0.02881159953737146
TITAN,1,Defensive Leaders,0.3468446368763223
TORNTPHARM,1,Defensive Leaders,0.0388277288195532
TRENT,1,Defensive Leaders,0.09291394813141741
TVSMOTOR,1,Defensive Leaders,1.114422134480521
ULTRACEMCO,1,Defensive Leaders,0.08786722467322867
UNIONBANK,1,Defensive Leaders,0.08786722467322867
