company_id,narrative
ABB,"ABB demonstrates a notable financial profile.

Net Profit Margin: 20.53%

Operating Profit Margin: 25.0%

Return on Equity: 32.47%

Debt to Equity: 0.0224

Free Cash Flow: 1095.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ADANIENSOL,"ADANIENSOL demonstrates a notable financial profile.

Net Profit Margin: 7.199999999999999%

Operating Profit Margin: 30.0%

Return on Equity: 9.46%

Debt to Equity: 2.9325

Free Cash Flow: 1095.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ADANIENT,"ADANIENT demonstrates a notable financial profile.

Net Profit Margin: 3.46%

Operating Profit Margin: 12.0%

Return on Equity: 8.53%

Debt to Equity: 1.6714

Free Cash Flow: -8455.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ADANIGREEN,"ADANIGREEN demonstrates a notable financial profile.

Net Profit Margin: 13.67%

Operating Profit Margin: 79.0%

Return on Equity: 12.81%

Debt to Equity: 6.5953

Free Cash Flow: -13347.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ADANIPORTS,"ADANIPORTS demonstrates a notable financial profile.

Net Profit Margin: 30.34%

Operating Profit Margin: 58.0%

Return on Equity: 15.35%

Debt to Equity: 0.9373

Free Cash Flow: 8250.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ADANIPOWER,"ADANIPOWER demonstrates a notable financial profile.

Net Profit Margin: 41.37%

Operating Profit Margin: 36.0%

Return on Equity: 48.28%

Debt to Equity: 0.8023

Free Cash Flow: 17651.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
AMBUJACEM,"AMBUJACEM demonstrates a notable financial profile.

Net Profit Margin: 14.29%

Operating Profit Margin: 19.0%

Return on Equity: 11.43%

Debt to Equity: 0.0169

Free Cash Flow: -3295.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
APOLLOHOSP,"APOLLOHOSP demonstrates a notable financial profile.

Net Profit Margin: 4.91%

Operating Profit Margin: 13.0%

Return on Equity: 13.48%

Debt to Equity: 0.7689

Free Cash Flow: 383.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
ASIANPAINT,"ASIANPAINT demonstrates a notable financial profile.

Net Profit Margin: 15.66%

Operating Profit Margin: 21.0%

Return on Equity: 29.68%

Debt to Equity: 0.1321

Free Cash Flow: 3556.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
AXISBANK,"AXISBANK demonstrates a notable financial profile.

Net Profit Margin: 22.73%

Operating Profit Margin: 11952.0%

Return on Equity: 15.83%

Debt to Equity: 8.2491

Free Cash Flow: -14556.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BAJAJ-AUTO,"BAJAJ-AUTO demonstrates a notable financial profile.

Net Profit Margin: 17.18%

Operating Profit Margin: 20.0%

Return on Equity: 26.61%

Debt to Equity: 0.066

Free Cash Flow: 6486.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BAJAJFINSV,"BAJAJFINSV demonstrates a notable financial profile.

Net Profit Margin: 14.13%

Operating Profit Margin: 37.0%

Return on Equity: 25.85%

Debt to Equity: 4.7894

Free Cash Flow: -79634.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BAJAJHLDNG,"BAJAJHLDNG demonstrates a notable financial profile.

Net Profit Margin: 432.73%

Operating Profit Margin: 92.0%

Return on Equity: 13.58%

Debt to Equity: 0.0012

Free Cash Flow: 1469.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BAJFINANCE,"BAJFINANCE demonstrates a notable financial profile.

Net Profit Margin: 26.29%

Operating Profit Margin: 19987.0%

Return on Equity: 18.84%

Debt to Equity: 3.8248

Free Cash Flow: -79931.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BANKBARODA,"BANKBARODA demonstrates a notable financial profile.

Net Profit Margin: 15.94%

Operating Profit Margin: 4102.0%

Return on Equity: 15.76%

Debt to Equity: 12.1437

Free Cash Flow: -7559.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BEL,"BEL demonstrates a notable financial profile.

Net Profit Margin: 19.66%

Operating Profit Margin: 25.0%

Return on Equity: 4744.05%

Debt to Equity: 0.5119

Free Cash Flow: -1265.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BHARTIARTL,"BHARTIARTL demonstrates a notable financial profile.

Net Profit Margin: 5.71%

Operating Profit Margin: 52.0%

Return on Equity: 10.36%

Debt to Equity: 2.6095

Free Cash Flow: 27809.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
BHEL,"BHEL demonstrates a notable financial profile.

Net Profit Margin: 1.18%

Operating Profit Margin: 3.0%

Return on Equity: 1.15%

Debt to Equity: 0.3624

Free Cash Flow: -2382.0 Cr

Pros:
No major strengths recorded.

Cons:
No major concerns recorded.
"
