company_id,report
ABB,"
==================================================
Company : ABB
==================================================

Financial Summary
-----------------
Net Profit Margin : 20.53%
Operating Margin  : 25.0%
ROE               : 32.47%
Debt/Equity       : 0.0224
Free Cash Flow    : 1095.0 Cr

Pros
----
No major strengths recorded.

Cons
----
No major concerns recorded.
"
ADANIENSOL,"
==================================================
Company : ADANIENSOL
==================================================

Financial Summary
-----------------
Net Profit Margin : 7.199999999999999%
Operating Margin  : 30.0%
ROE               : 9.46%
Debt/Equity       : 2.9325
Free Cash Flow    : 1095.0 Cr

Pros
----
No major strengths recorded.

Cons
----
No major concerns recorded.
"
ADANIENT,"
==================================================
Company : ADANIENT
==================================================

Financial Summary
-----------------
Net Profit Margin : 3.46%
Operating Margin  : 12.0%
ROE               : 8.53%
Debt/Equity       : 1.6714
Free Cash Flow    : -8455.0 Cr

Pros
----
No major strengths recorded.

Cons
----
No major concerns recorded.
"
ADANIGREEN,"
==================================================
Company : ADANIGREEN
==================================================

Financial Summary
-----------------
Net Profit Margin : 13.67%
Operating Margin  : 79.0%
ROE               : 12.81%
Debt/Equity       : 6.5953
Free Cash Flow    : -13347.0 Cr

Pros
----
No major strengths recorded.

Cons
----
No major concerns recorded.
"
ADANIPORTS,"
==================================================
Company : ADANIPORTS
==================================================

Financial Summary
-----------------
Net Profit Margin : 30.34%
Operating Margin  : 58.0%
ROE               : 15.35%
Debt/Equity       : 0.9373
Free Cash Flow    : 8250.0 Cr

Pros
----
No major strengths recorded.

Cons
----
No major concerns recorded.
"
ADANIPOWER,"
==================================================
Company : ADANIPOWER
==================================================

Financial Summary
-----------------
Net Profit Margin : 41.37%
Operating Margin  : 36.0%
ROE               : 48.28%
Debt/Equity       : 0.8023
Free Cash Flow    : 17651.0 Cr

Pros
----
No major strengths recorded.

Cons
----
No major concerns recorded.
"
AMBUJACEM,"
==================================================
Company : AMBUJACEM
==================================================

Financial Summary
-----------------
Net Profit Margin : 14.29%
Operating Margin  : 19.0%
ROE               : 11.43%
Debt/Equity       : 0.0169
Free Cash Flow    : -3295.0 Cr

Pros
----
No major strengths recorded.

Cons
----
No major concerns recorded.
"
APOLLOHOSP,"
==================================================
Company : APOLLOHOSP
==================================================

Financial Summary
-----------------
Net Profit Margin : 4.91%
Operating Margin  : 13.0%
ROE               : 13.48%
Debt/Equity       : 0.7689
Free Cash Flow    : 383.0 Cr

Pros
----
No major strengths recorded.

Cons
----
No major concerns recorded.
"
ASIANPAINT,"
==================================================
Company : ASIANPAINT
==================================================

Financial Summary
-----------------
Net Profit Margin : 15.66%
Operating Margin  : 21.0%
ROE               : 29.68%
Debt/Equity       : 0.1321
Free Cash Flow    : 3556.0 Cr

Pros
----
No major strengths recorded.

Cons
----
No major concerns recorded.
"
AXISBANK,"
==================================================
Company : AXISBANK
==================================================

Financial Summary
-----------------
Net Profit Margin : 22.73%
Operating Margin  : 11952.0%
ROE               : 15.83%
Debt/Equity       : 8.2491
Free Cash Flow    : -14556.0 Cr

Pros
----
No major strengths recorded.

Cons
----
No major concerns recorded.
"
BAJAJ-AUTO,"
==================================================
Company : BAJAJ-AUTO
==================================================

Financial Summary
-----------------
Net Profit Margin : 17.18%
Operating Margin  : 20.0%
ROE               : 26.61%
Debt/Equity       : 0.066
Free Cash Flow    : 6486.0 Cr

Pros
----
No major strengths recorded.

Cons
----
No major concerns recorded.
"
BAJAJFINSV,"
==================================================
Company : BAJAJFINSV
==================================================

Financial Summary
-----------------
Net Profit Margin : 14.13%
Operating Margin  : 37.0%
ROE               : 25.85%
Debt/Equity       : 4.7894
Free Cash Flow    : -79634.0 Cr

Pros
----
No major strengths recorded.

Cons
----
No major concerns recorded.
"
