company_id,roe,net_profit_margin,debt_to_equity,free_cash_flow,score,recommendation
ABB,32.47,20.53,0.0224,1095.0,10,BUY
ADANIENSOL,9.46,7.199999999999999,2.9325,1095.0,3,SELL
ADANIENT,8.53,3.46,1.6714,-8455.0,0,SELL
ADANIGREEN,12.81,13.67,6.5953,-13347.0,3,SELL
ADANIPORTS,15.35,30.34,0.9373,8250.0,8,BUY
ADANIPOWER,48.28,41.37,0.8023,17651.0,9,BUY
AMBUJACEM,11.43,14.29,0.0169,-3295.0,5,HOLD
APOLLOHOSP,13.48,4.91,0.7689,383.0,4,SELL
ASIANPAINT,29.68,15.66,0.1321,3556.0,10,BUY
AXISBANK,15.83,22.73,8.2491,-14556.0,5,HOLD
BAJAJ-AUTO,26.61,17.18,0.066,6486.0,10,BUY
BAJAJFINSV,25.85,14.13,4.7894,-79634.0,5,HOLD
BAJAJHLDNG,13.58,432.73,0.0012,1469.0,8,BUY
BAJFINANCE,18.84,26.29,3.8248,-79931.0,5,HOLD
BANKBARODA,15.76,15.94,12.1437,-7559.0,5,HOLD
BEL,4744.05,19.66,0.5119,-1265.0,7,HOLD
BHARTIARTL,10.36,5.71,2.6095,27809.0,4,SELL
BHEL,1.15,1.18,0.3624,-2382.0,2,SELL
BOSCHLTD,20.64,14.89,0.0032,1536.0,9,BUY
BPCL,35.51000000000001,5.99,0.7219,25415.0,7,HOLD
BRITANNIA,54.15,12.73,0.524,3050.0,8,BUY
CANBK,16.72,13.94,14.8674,13296.0,6,HOLD
CHOLAFIN,17.46,17.85,6.8634,-38538.0,5,HOLD
CIPLA,15.55,16.12,0.0209,1152.0,9,BUY
COALINDIA,45.17,26.26,0.0788,13617.0,10,BUY
DABUR,18.36,14.6,0.1384,1042.0,8,BUY
DIVISLAB,11.79,20.4,0.0002,992.0,8,BUY
DLF,6.909999999999999,42.38,0.1226,1010.0,7,HOLD
DMART,13.56,4.99,0.0317,278.0,5,HOLD
DRREDDY,19.74,19.91,0.0709,509.0,9,BUY
EICHERMOT,22.17,24.2,0.0232,890.0,10,BUY
GAIL,12.86,7.430000000000001,0.283,4360.0,6,HOLD
GODREJCP,-4.45,-3.98,0.2558,-1365.0,2,SELL
GRASIM,11.2,7.580000000000001,1.5471,-33833.0,2,SELL
HAL,3816.58,25.0,0.6181,1814.0,9,BUY
HAVELLS,17.07,6.84,0.0407,335.0,7,HOLD
HCLTECH,23.01,14.29,0.0844,15840.0,9,BUY
HDFCBANK,14.34,23.07,6.8088,35669.0,6,HOLD
HDFCLIFE,10.73,1.55,0.0648,-2893.0,3,SELL
HEROMOTOCO,21.14,9.9,0.0342,3095.0,9,BUY
HINDALCO,9.569999999999999,4.7,0.5309,9789.0,3,SELL
HINDUNILVR,20.07,16.61,0.029,10145.0,10,BUY
ICICIBANK,17.99,28.89,6.4456,12547.0,7,HOLD
ICICIGI,15.72,9.370000000000001,0.0029,486.0,8,BUY
ICICIPRULI,7.73,0.9400000000000001,0.109,105.0,4,SELL
INDIGO,892.57,11.85,0.0186,9424.0,9,BUY
INDUSINDBK,14.25,19.56,6.8857,-17468.0,4,SELL
INFY,29.79,17.08,0.0949,20117.0,10,BUY
IOC,23.53,5.56,0.7231,39635.0,7,HOLD
IRCTC,34.4,26.02,0.0186,667.0,10,BUY
IRFC,13.04,24.06,8.3784,7906.0,6,HOLD
ITC,27.85,29.28,0.0041,18742.0,10,BUY
JINDALSTEL,13.41,11.8,0.3717,-2336.0,5,HOLD
JIOFIN,1.15,86.52,0.0,763.0,7,HOLD
JSWENERGY,8.28,15.02,1.5156,-1963.0,3,SELL
JSWSTEEL,11.55,5.13,1.1328,-2389.0,2,SELL
KOTAKBANK,14.01,32.39,4.0037,6766.0,6,HOLD
LICI,49.45,4.84,0.0,853.0,7,HOLD
LODHA,8.9,15.06,0.4407,-435.0,5,HOLD
LT,77.66999999999999,7.03,0.1035,20445.0,8,BUY
LTIM,22.9,12.91,0.1035,1752.0,9,BUY
M&M,18.54,8.82,1.6414,-11245.0,4,SELL
MARUTI,15.75,9.51,0.0014,4936.0,8,BUY
MOTHERSON,11.55,3.06,0.7617,925.0,4,SELL
NAUKRI,1.97,23.46,0.0081,-150.0,5,HOLD
NESTLEIND,117.75,16.12,0.1033,2938.0,10,BUY
NHPC,10.41,41.82,0.8413,970.0,7,HOLD
NTPC,13.27,11.95,1.4755,8644.0,5,HOLD
ONGC,16.94,9.66,0.4544,42060.0,8,BUY
PFC,26.16,28.92,8.5219,-101229.0,6,HOLD
PIDILITIND,20.78,14.11,0.0454,955.0,9,BUY
PNB,61.31999999999999,8.4,3.6843,-29445.0,5,HOLD
POWERGRID,17.87,33.97,1.4173,24176.0,7,HOLD
RECLTD,20.4,29.77,6.4249,-59554.0,6,HOLD
RELIANCE,9.959999999999999,8.790000000000001,0.5785,45207.0,5,HOLD
SBILIFE,12.7,1.43,0.0,-2099.0,3,SELL
SHREECEM,8.37,8.450000000000001,0.08,1929.0,6,HOLD
SHRIRAMFIN,15.12,20.33,3.994,-31359.0,5,HOLD
SIEMENS,17.7,12.22,0.0182,1168.0,8,BUY
SUNPHARMA,15.09,19.82,0.0514,11372.0,9,BUY
TATACONSUM,7.57,7.99,0.2165,26.0,5,HOLD
TATAMOTORS,37.46,7.26,1.2631,45133.0,6,HOLD
TATAPOWER,13.23,6.97,1.6593,3569.0,4,SELL
TATASTEEL,-5.33,-2.14,0.9462,6048.0,3,SELL
TCS,50.94,19.14,0.0886,50429.0,10,BUY
TECHM,8.99,4.61,0.0951,5058.0,4,SELL
TITAN,37.22,6.84,1.6531,1506.0,6,HOLD
TORNTPHARM,24.15,15.44,0.5866,3106.0,9,BUY
TRENT,36.31,11.94,0.4309,841.0,9,BUY
TVSMOTOR,26.22,4.54,3.8334,-2254.0,3,SELL
ULTRACEMCO,11.63,9.879999999999999,0.1893,2109.0,7,HOLD
UNIONBANK,14.14,13.75,12.8237,18536.0,5,HOLD
