company_id,roe,net_profit_margin,debt_to_equity,free_cash_flow,score,recommendation,rating
ABB,32.47,20.53,0.0224,1095.0,10,BUY,STRONG
ADANIENSOL,9.46,7.199999999999999,2.9325,1095.0,3,SELL,WEAK
ADANIENT,8.53,3.46,1.6714,-8455.0,0,SELL,WEAK
ADANIGREEN,12.81,13.67,6.5953,-13347.0,3,SELL,WEAK
ADANIPORTS,15.35,30.34,0.9373,8250.0,8,BUY,STRONG
ADANIPOWER,48.28,41.37,0.8023,17651.0,9,BUY,STRONG
AMBUJACEM,11.43,14.29,0.0169,-3295.0,5,HOLD,MODERATE
APOLLOHOSP,13.48,4.91,0.7689,383.0,4,SELL,WEAK
ASIANPAINT,29.68,15.66,0.1321,3556.0,10,BUY,STRONG
AXISBANK,15.83,22.73,8.2491,-14556.0,5,HOLD,MODERATE
BAJAJ-AUTO,26.61,17.18,0.066,6486.0,10,BUY,STRONG
BAJAJFINSV,25.85,14.13,4.7894,-79634.0,5,HOLD,MODERATE
BAJAJHLDNG,13.58,432.73,0.0012,1469.0,8,BUY,STRONG
BAJFINANCE,18.84,26.29,3.8248,-79931.0,5,HOLD,MODERATE
BANKBARODA,15.76,15.94,12.1437,-7559.0,5,HOLD,MODERATE
BEL,4744.05,19.66,0.5119,-1265.0,7,HOLD,MODERATE
BHARTIARTL,10.36,5.71,2.6095,27809.0,4,SELL,WEAK
BHEL,1.15,1.18,0.3624,-2382.0,2,SELL,WEAK
BOSCHLTD,20.64,14.89,0.0032,1536.0,9,BUY,STRONG
BPCL,35.51000000000001,5.99,0.7219,25415.0,7,HOLD,MODERATE
BRITANNIA,54.15,12.73,0.524,3050.0,8,BUY,STRONG
CANBK,16.72,13.94,14.8674,13296.0,6,HOLD,MODERATE
CHOLAFIN,17.46,17.85,6.8634,-38538.0,5,HOLD,MODERATE
CIPLA,15.55,16.12,0.0209,1152.0,9,BUY,STRONG
COALINDIA,45.17,26.26,0.0788,13617.0,10,BUY,STRONG
DABUR,18.36,14.6,0.1384,1042.0,8,BUY,STRONG
DIVISLAB,11.79,20.4,0.0002,992.0,8,BUY,STRONG
DLF,6.909999999999999,42.38,0.1226,1010.0,7,HOLD,MODERATE
DMART,13.56,4.99,0.0317,278.0,5,HOLD,MODERATE
DRREDDY,19.74,19.91,0.0709,509.0,9,BUY,STRONG
EICHERMOT,22.17,24.2,0.0232,890.0,10,BUY,STRONG
GAIL,12.86,7.430000000000001,0.283,4360.0,6,HOLD,MODERATE
GODREJCP,-4.45,-3.98,0.2558,-1365.0,2,SELL,WEAK
GRASIM,11.2,7.580000000000001,1.5471,-33833.0,2,SELL,WEAK
HAL,3816.58,25.0,0.6181,1814.0,9,BUY,STRONG
HAVELLS,17.07,6.84,0.0407,335.0,7,HOLD,MODERATE
HCLTECH,23.01,14.29,0.0844,15840.0,9,BUY,STRONG
HDFCBANK,14.34,23.07,6.8088,35669.0,6,HOLD,MODERATE
HDFCLIFE,10.73,1.55,0.0648,-2893.0,3,SELL,WEAK
HEROMOTOCO,21.14,9.9,0.0342,3095.0,9,BUY,STRONG
HINDALCO,9.569999999999999,4.7,0.5309,9789.0,3,SELL,WEAK
HINDUNILVR,20.07,16.61,0.029,10145.0,10,BUY,STRONG
ICICIBANK,17.99,28.89,6.4456,12547.0,7,HOLD,MODERATE
ICICIGI,15.72,9.370000000000001,0.0029,486.0,8,BUY,STRONG
ICICIPRULI,7.73,0.9400000000000001,0.109,105.0,4,SELL,WEAK
INDIGO,892.57,11.85,0.0186,9424.0,9,BUY,STRONG
