id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,fcf_cagr_5yr,return_on_capital_employed_pct,composite_quality_score,cluster_id,cluster_name,distance_from_centroid,outlier_metric
243,BEL,Mar 2024,19.66,25.0,4744.05,0.5119,476.75,125.8882,-1265.0,5924.0,5.0,0.7636,40.0,43.0,4659.0,,,,,34.6,4763.9310000000005,0,Emerging Growth,0.7359937002368483,return_on_equity_pct
455,HAL,Mar 2024,25.0,32.0,3816.58,0.6181,270.8837,67.5133,1814.0,6412.0,114.0,3.98,31.0,123.0,8226.0,,,,,38.9,3842.399,0,Emerging Growth,0.7359937002368434,return_on_equity_pct
789,NESTLEIND,Mar 2024,16.12,24.0,117.75,0.1033,41.1862,2.3182,2938.0,1237.0,41.0,3.4792,79.0,345.0,4175.0,,,,,185.43,140.717,1,Defensive Leaders,0.2549554745344701,return_on_equity_pct
1184,INDIGO,Mar 2024,11.85,16331.0,892.57,0.0186,22.6126,56.3863,9424.0,11759.0,212.0,1.9062,0.0,17.0,21183.0,,,,,24.5,17223.384,2,High-Quality Compounders,1.513247022841361,return_on_equity_pct
173,AXISBANK,Mar 2024,22.73,11952.0,15.83,8.2491,1.6912,0.072,-14556.0,9001.0,81.0,25.4494,1.0,1295302.0,-5555.0,,,,,7.06,11885.339,4,Turnaround Stories,1.9598036451529344,operating_profit_margin_pct
207,BAJFINANCE,Mar 2024,26.29,19987.0,18.84,3.8248,2689.1667,0.1463,-79931.0,7171.0,233.0,61.8516,15.0,293346.0,-72760.0,,,,,11.9,19967.592,2,High-Quality Compounders,1.2038744490058644,operating_profit_margin_pct
219,BANKBARODA,Mar 2024,15.94,4102.0,15.76,12.1437,1.8967,0.0715,-7559.0,1285.0,36.0,11.5553,21.0,1453761.0,-6274.0,,,,,6.33,3996.3230000000003,4,Turnaround Stories,1.8449015196148373,operating_profit_margin_pct
303,CANBK,Mar 2024,13.94,-7745.0,16.72,14.8674,1.6107,0.072,13296.0,1750.0,17.0,5.079,19.0,1369780.0,15046.0,,,,,6.63,-7876.954,4,Turnaround Stories,2.538491636959711,operating_profit_margin_pct
315,CHOLAFIN,Mar 2024,17.85,4548.0,17.46,6.8634,21.2118,0.1223,-38538.0,2855.0,41.0,11.6625,5.0,134475.0,-35683.0,,,,,10.4,4496.826,4,Turnaround Stories,1.1103786781892784,operating_profit_margin_pct
327,CIPLA,Mar 2024,16.12,6291.0,15.55,0.0209,35.3388,0.7922,1152.0,2982.0,51.0,16.5876,25.0,559.0,4134.0,,,,,22.8,6306.341,1,Defensive Leaders,0.765191006396345,operating_profit_margin_pct
339,COALINDIA,Mar 2024,26.26,47971.0,45.17,0.0788,11.2418,0.6019,13617.0,4486.0,61.0,1.3424,42.0,6523.0,18103.0,,,,,63.6,48015.382,2,High-Quality Compounders,2.8352042069387564,operating_profit_margin_pct
490,HDFCBANK,Mar 2024,23.07,-44685.0,14.34,6.8088,1.4008,0.0704,35669.0,16600.0,84.0,60.0521,23.0,3107503.0,19069.0,47.0,27.0,,,7.67,-44691.74800000001,4,Turnaround Stories,4.863107117567985,operating_profit_margin_pct
502,HDFCLIFE,Mar 2024,1.55,531.0,10.73,0.0648,192.2895,0.3353,-2893.0,13614.0,7.0,0.6818,27.0,950.0,10721.0,,,,,6.61,541.082,1,Defensive Leaders,0.2192745277689372,operating_profit_margin_pct
513,HEROMOTOCO,Mar 2024,9.9,5235.0,21.14,0.0342,47.2685,1.4449,3095.0,1828.0,187.0,44.2475,75.0,606.0,4923.0,,,,,29.1,5255.798000000001,1,Defensive Leaders,0.6437506166900195,operating_profit_margin_pct
525,HINDALCO,Mar 2024,4.7,23872.0,9.569999999999999,0.5309,126.4654,0.936,9789.0,14267.0,45.0,47.8135,8.0,56356.0,24056.0,,,,,11.3,23876.261,2,High-Quality Compounders,0.33494972329008,operating_profit_margin_pct
537,HINDUNILVR,Mar 2024,16.61,14659.0,20.07,0.029,57.847,0.7886,10145.0,5324.0,44.0,21.7949,96.0,1484.0,15469.0,,,,,27.2,14678.779999999999,2,High-Quality Compounders,1.259663696839851,operating_profit_margin_pct
549,ICICIBANK,Mar 2024,28.89,-14152.0,17.99,6.4456,1.3009,0.0675,12547.0,144737.0,63.0,18.2309,16.0,1651008.0,157284.0,,,,,7.6,-14198.466,4,Turnaround Stories,1.2703957922207727,operating_profit_margin_pct
561,ICICIGI,Mar 2024,9.370000000000001,2577.0,15.72,0.0029,160.0268,0.3236,486.0,1921.0,39.0,2.4757,28.0,35.0,2407.0,,,,,22.5,2592.691,1,Defensive Leaders,0.3698163953843653,operating_profit_margin_pct
573,ICICIPRULI,Mar 2024,0.9400000000000001,-1829.0,7.73,0.109,31.0215,0.302,105.0,7420.0,6.0,0.7637,10.0,1200.0,-7315.0,,,,,8.75,-1822.36,1,Defensive Leaders,0.3170901012627293,operating_profit_margin_pct
585,INDUSINDBK,Mar 2024,19.56,2978.0,14.25,6.8857,1.8795,0.0888,-17468.0,625.0,115.0,8.0716,14.0,432404.0,-16843.0,,,,,7.93,2923.393,4,Turnaround Stories,0.9287824653147916,operating_profit_margin_pct
